887번째 학습, 423, 711, 888
639번째 학습, 198, 401, 640
666번째 학습, 324, 441, 667
409번째 학습, 204, 221, 410
329번째 학습, 95, 241, 330
1264번째 학습, 507, 912, 1265
432번째 학습, 219, 239, 433
609번째 학습, 99, 224, 610
628번째 학습, 252, 262, 629
708번째 학습, 325, 363, 709
855번째 학습, 282, 614, 856
205번째 학습, 166, 171, 206
773번째 학습, 225, 507, 774
742번째 학습, 429, 548, 743
439번째 학습, 224, 428, 440
612번째 학습, 318, 596, 613
637번째 학습, 154, 553, 638
326번째 학습, 150, 171, 327
897번째 학습, 229, 506, 898
509번째 학습, 186, 285, 510
752번째 학습, 277, 405, 753
563번째 학습, 199, 545, 564
585번째 학습, 239, 478, 586
1207번째 학습, 280, 646, 1208
468번째 학습, 187, 340, 469
507번째 학습, 234, 327, 508
507번째 학습, 109, 123, 508
1241번째 학습, 418, 597, 1242
571번째 학습, 139, 171, 572
537번째 학습, 339, 402, 538
444번째 학습, 195, 272, 445
448번째 학습, 69, 168, 449
629번째 학습, 174, 285, 630
620번째 학습, 208, 518, 621
683번째 학습, 234, 453, 684
768번째 학습, 144, 579, 769
1101번째 학습, 263, 455, 1102
573번째 학습, 132, 543, 574
294번째 학습, 208, 273, 295
492번째 학습, 163, 395, 493
929번째 학습, 229, 331, 930
1029번째 학습, 235, 517, 1030
359번째 학습, 140, 284, 360
603번째 학습, 329, 481, 604
723번째 학습, 267, 280, 724
558번째 학습, 91, 351, 559
734번째 학습, 262, 360, 735
174번째 학습, 119, 131, 175
493번째 학습, 343, 357, 494
466번째 학습, 173, 456, 467
507번째 학습, 90, 335, 508
552번째 학습, 249, 377, 553
200번째 학습, 172, 184, 201
709번째 학습, 220, 591, 710
287번째 학습, 209, 220, 288
351번째 학습, 160, 204, 352
281번째 학습, 201, 221, 282
371번째 학습, 233, 351, 372
598번째 학습, 274, 316, 599
547번째 학습, 350, 372, 548
795번째 학습, 327, 474, 796
337번째 학습, 168, 200, 338
477번째 학습, 313, 333, 478
548번째 학습, 245, 486, 549
699번째 학습, 88, 409, 700
491번째 학습, 287, 407, 492
597번째 학습, 171, 567, 598
692번째 학습, 314, 582, 693
605번째 학습, 164, 178, 606
420번째 학습, 265, 283, 421
477번째 학습, 306, 318, 478
453번째 학습, 152, 238, 454
622번째 학습, 335, 615, 623
540번째 학습, 231, 240, 541
246번째 학습, 93, 188, 247
931번째 학습, 339, 687, 932
402번째 학습, 197, 211, 403
450번째 학습, 194, 196, 451
372번째 학습, 164, 328, 373
612번째 학습, 80, 585, 613
987번째 학습, 349, 722, 988
550번째 학습, 170, 193, 551
762번째 학습, 258, 550, 763
403번째 학습, 192, 207, 404
573번째 학습, 98, 413, 574
524번째 학습, 234, 504, 525
867번째 학습, 148, 432, 868
598번째 학습, 182, 530, 599
